"","a1","a1a1","a2","a2a2","a3","a3a3","a4a4","a5a5","a6a6","a7a7","a8a8","a9a9","b1b1","b2","b3","b4","b5","b5a1","b5b2","b5b5","cluster"
"1277",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1278",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1279",0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"128",6,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,19,0,0,6,1
"1280",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1281",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1282",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1284",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1285",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1286",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1288",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1289",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"129",6,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,11,0,6,5,13
"1290",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1291",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1292",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1293",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1294",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1295",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1296",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1297",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1298",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1299",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"13",9,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,13,0,0,11,15
"130",6,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,19,0,0,5,1
"1300",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1301",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,25
"1302",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1303",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1304",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,25
"1306",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11
