,a1,a1a1,a2,a2a2,a3,a3a3,a4a4,a5a5,a6a6,a7a7,a8a8,a9a9,b1b1,b2,b3,b4,b5,b5a1,b5b2,b5b5
1270,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
1272,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1273,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1274,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1275,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
1276,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1277,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1278,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1279,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
128,6,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,19,0,0,6
1280,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1281,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1282,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1285,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1286,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1288,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1289,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,6,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,11,0,6,5
1290,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1291,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1293,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1294,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1295,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1297,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1298,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,13,0,0,11
130,6,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,19,0,0,5
1300,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1302,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1306,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1307,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,19,0,0,0
1310,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
1313,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1317,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,9,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,13,0,0,5
1320,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1323,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1324,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1326,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1327,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
